 sapere	Freq: 337	Categoria:Verbi  
 chiaro	Freq: 52	Categoria:Aggettivi  
 lavoro	Freq: 52	Categoria:Sostantivi  
 chiamare	Freq: 52	Categoria:Verbi  
 dolore	Freq: 52	Categoria:Sostantivi  
 finire	Freq: 52	Categoria:Verbi  
 amico	Freq: 51	Categoria:Sostantivi  
 famiglia	Freq: 51	Categoria:Sostantivi  
 libero	Freq: 51	Categoria:Aggettivi  
 bravo	Freq: 50	Categoria:Aggettivi  
 forte	Freq: 50	Categoria:Aggettivi  
 cominciare	Freq: 49	Categoria:Verbi  
 posto	Freq: 49	Categoria:Sostantivi  
 solo	Freq: 49	Categoria:Aggettivi  
 coscienza	Freq: 48	Categoria:Sostantivi  
 luce	Freq: 48	Categoria:Sostantivi  
 mente	Freq: 48	Categoria:Sostantivi  
 problema	Freq: 47	Categoria:Sostantivi  
 sogno	Freq: 47	Categoria:Sostantivi  
 padre	Freq: 47	Categoria:Sostantivi  
 ragazzo	Freq: 46	Categoria:Sostantivi  
 diverso	Freq: 46	Categoria:Aggettivi  
 buttare	Freq: 46	Categoria:Verbi  
 gioco	Freq: 46	Categoria:Sostantivi  
 naturale	Freq: 46	Categoria:Aggettivi  
 rivoluzione	Freq: 45	Categoria:Sostantivi  
 uguale	Freq: 44	Categoria:Aggettivi  
 crescere	Freq: 44	Categoria:Verbi  
 contare	Freq: 44	Categoria:Verbi  
 realtà	Freq: 44	Categoria:Sostantivi  
 mancare	Freq: 44	Categoria:Verbi  
 faccia	Freq: 44	Categoria:Sostantivi  
 punto	Freq: 43	Categoria:Sostantivi  
 soffrire	Freq: 43	Categoria:Verbi  
 ricordare	Freq: 43	Categoria:Verbi  
 caso	Freq: 43	Categoria:Sostantivi  
 restare	Freq: 43	Categoria:Verbi  
 caro	Freq: 42	Categoria:Aggettivi  
 giovane	Freq: 40	Categoria:Aggettivi  
 chiedere	Freq: 40	Categoria:Verbi  
 inventare	Freq: 40	Categoria:Verbi  
 grosso	Freq: 40	Categoria:Aggettivi  
 paese	Freq: 40	Categoria:Sostantivi  
 silenzio	Freq: 39	Categoria:Sostantivi  
 ragione	Freq: 39	Categoria:Sostantivi  
 bianco	Freq: 39	Categoria:Aggettivi  
 fatto	Freq: 38	Categoria:Sostantivi  
 stesso	Freq: 38	Categoria:Aggettivi  
 esistere	Freq: 38	Categoria:Verbi  
 fregare	Freq: 38	Categoria:Verbi  
 fondo	Freq: 38	Categoria:Sostantivi  
 morte	Freq: 38	Categoria:Sostantivi  
 lavorare	Freq: 37	Categoria:Verbi  
 stanza	Freq: 37	Categoria:Sostantivi  
 unico	Freq: 37	Categoria:Aggettivi  
 uscire	Freq: 37	Categoria:Verbi  
 italiano	Freq: 37	Categoria:Sostantivi  
 certo	Freq: 36	Categoria:Aggettivi  
 rabbia	Freq: 36	Categoria:Sostantivi  
 cultura	Freq: 36	Categoria:Sostantivi  
 ridere	Freq: 36	Categoria:Verbi  
 cane	Freq: 36	Categoria:Sostantivi  
 gusto	Freq: 36	Categoria:Sostantivi  
 rimanere	Freq: 35	Categoria:Verbi  
 americano	Freq: 35	Categoria:Sostantivi  
 piangere	Freq: 35	Categoria:Verbi  
 sinistra	Freq: 35	Categoria:Sostantivi  
 signore	Freq: 34	Categoria:Sostantivi  
 spazio	Freq: 34	Categoria:Sostantivi  
 madre	Freq: 34	Categoria:Sostantivi  
 fortuna	Freq: 34	Categoria:Sostantivi  
 milione	Freq: 34	Categoria:Sostantivi  
 presente	Freq: 33	Categoria:Sostantivi  
 modo	Freq: 33	Categoria:Sostantivi  
 perfetto	Freq: 33	Categoria:Aggettivi  
 tornare	Freq: 33	Categoria:Verbi  
 scegliere	Freq: 33	Categoria:Verbi  
 vivo	Freq: 33	Categoria:Aggettivi  
 massa	Freq: 33	Categoria:Sostantivi  
 fermare	Freq: 33	Categoria:Verbi  
 bocca	Freq: 33	Categoria:Sostantivi  
 guerra	Freq: 33	Categoria:Sostantivi  
 nonno	Freq: 32	Categoria:Sostantivi  
 stupido	Freq: 31	Categoria:Aggettivi  
 povero	Freq: 31	Categoria:Aggettivi  
 umano	Freq: 31	Categoria:Sostantivi  
 vuoto	Freq: 31	Categoria:Aggettivi  
 popolo	Freq: 31	Categoria:Sostantivi  
 scusare	Freq: 30	Categoria:Verbi  
 animale	Freq: 30	Categoria:Sostantivi  
 notte	Freq: 30	Categoria:Sostantivi  
 star	Freq: 30	Categoria:Sostantivi  
 attimo	Freq: 30	Categoria:Sostantivi  
 ammazzare	Freq: 30	Categoria:Verbi  
 sicuro	Freq: 30	Categoria:Aggettivi  
 merda	Freq: 30	Categoria:Sostantivi  
 fine	Freq: 30	Categoria:Sostantivi  
 futuro	Freq: 30	Categoria:Sostantivi  
 morale	Freq: 29	Categoria:Sostantivi  
 ora	Freq: 29	Categoria:Sostantivi  
 macchina	Freq: 29	Categoria:Sostantivi  
 immaginare	Freq: 29	Categoria:Verbi  
 lontano	Freq: 29	Categoria:Aggettivi  
 importare	Freq: 29	Categoria:Verbi  
 coraggio	Freq: 29	Categoria:Sostantivi  
 cantare	Freq: 29	Categoria:Verbi  
 colpa	Freq: 29	Categoria:Sostantivi  
 sano	Freq: 29	Categoria:Aggettivi  
 allegria	Freq: 29	Categoria:Sostantivi  
 aspettare	Freq: 28	Categoria:Verbi  
 sera	Freq: 28	Categoria:Sostantivi  
 enorme	Freq: 28	Categoria:Aggettivi  
 alzare	Freq: 28	Categoria:Verbi  
 fermo	Freq: 28	Categoria:Aggettivi  
 antico	Freq: 28	Categoria:Aggettivi 
